"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. "
"Апр. '20","426,70","375,50","449,50","357,61","13,86M","13,64"
"Март '20","375,50","369,03","393,46","290,41","9,31M","1,75"
"Февр. '20","369,03","347,24","392,95","346,28","114,11M","6,94"
"Янв. '20","345,09","326,10","359,85","321,20","169,80M","6,65"
"Дек. '19","323,57","314,39","338,00","292,02","125,11M","2,83"
"Нояб. '19","314,66","288,70","316,82","281,14","113,77M","9,48"
"Окт. '19","287,41","267,35","308,75","257,01","235,29M","7,39"
"Сент. '19","267,62","290,82","301,55","252,28","176,23M","-8,90"
"Авг. '19","293,75","324,25","328,58","287,20","137,40M","-9,05"
"Июль '19","322,99","373,50","384,76","305,81","196,69M","-12,07"
"Июнь '19","367,32","343,56","375,00","332,65","111,05M","7,00"
"Май '19","343,28","374,00","385,99","341,39","125,30M","-7,36"
"Апр. '19","370,54","359,00","384,80","342,27","165,09M","3,92"
"Март '19","356,56","362,26","379,00","342,47","144,84M","-0,43"
"Февр. '19","358,10","337,18","371,49","336,50","148,19M","5,48"
"Янв. '19","339,50","259,28","358,85","256,58","306,63M","26,84"
"Дек. '18","267,66","293,19","298,72","231,23","234,30M","-6,46"
"Нояб. '18","286,13","304,59","332,05","250,00","257,13M","-5,19"
"Окт. '18","301,78","375,85","386,80","271,21","363,59M","-19,34"
"Сент. '18","374,13","366,47","383,20","335,83","170,83M","1,75"
"Авг. '18","367,68","335,87","376,81","310,93","213,14M","8,96"
"Июль '18","337,45","385,45","419,77","328,00","305,49M","-13,79"
"Июнь '18","391,43","353,88","423,21","352,82","244,03M","11,33"
"Май '18","351,60","310,36","356,10","305,73","142,05M","12,53"
"Апр. '18","312,46","291,94","338,82","271,22","262,06M","5,79"
"Март '18","295,35","292,75","333,98","275,90","263,45M","1,36"
"Февр. '18","291,38","266,41","297,36","236,11","184,59M","7,80"
"Янв. '18","270,30","196,10","286,81","195,42","238,38M","40,81"
"Дек. '17","191,96","186,99","194,49","178,38","115,10M","2,34"
"Нояб. '17","187,58","197,24","202,48","184,32","111,00M","-4,51"
"Окт. '17","196,43","182,11","204,38","176,58","208,66M","8,32"
"Сент. '17","181,35","175,55","189,95","172,44","111,44M","3,80"
"Авг. '17","174,71","182,49","184,62","164,23","136,54M","-3,83"
"Июль '17","181,66","149,80","191,50","144,25","185,14M","21,58"
"Июнь '17","149,41","163,52","166,87","147,30","135,70M","-8,38"
"Май '17","163,07","151,91","164,75","151,61","116,82M","7,14"
"Апр. '17","152,20","146,70","153,52","138,66","149,78M","2,97"
"Март '17","147,81","142,84","148,29","138,26","110,70M","4,00"
"Февр. '17","142,13","141,20","145,95","139,05","91,45M","1,01"
"Янв. '17","140,71","124,96","143,46","124,31","182,19M","13,66"
"Дек. '16","123,80","117,52","129,07","113,95","128,53M","5,81"
"Нояб. '16","117,00","124,98","125,83","110,68","147,51M","-6,30"
"Окт. '16","124,87","98,00","129,29","97,63","274,10M","26,71"
"Сент. '16","98,55","97,81","100,35","93,26","169,72M","1,13"
"Авг. '16","97,45","91,23","98,85","90,50","182,61M","6,79"
"Июль '16","91,25","95,00","101,27","84,50","320,14M","-0,25"
"Июнь '16","91,48","101,50","102,15","84,81","218,26M","-10,81"
"Май '16","102,57","90,41","104,00","85,74","265,07M","13,93"
"Апр. '16","90,03","102,93","111,85","88,21","340,17M","-11,93"
"Март '16","102,23","94,58","104,91","93,61","311,38M","9,44"
"Февр. '16","93,41","91,79","97,48","79,95","389,27M","1,71"
"Янв. '16","91,84","109,00","122,18","90,11","488,19M","-19,71"
"Дек. '15","114,38","124,47","133,27","113,85","320,01M","-7,26"
"Нояб. '15","123,33","109,20","126,60","101,86","320,32M","13,79"
"Окт. '15","108,38","102,91","115,83","96,26","446,44M","4,96"
"Сент. '15","103,26","109,35","111,24","93,55","497,40M","-10,23"
"Авг. '15","115,03","114,60","129,29","85,50","469,72M","0,63"
"Июль '15","114,31","94,81","117,88","92,28","406,36M","21,80"
"Июнь '15","93,85","88,84","100,89","87,94","469,26M","5,27"
"Май '15","89,15","79,86","90,21","78,89","280,03M","12,14"
"Апр. '15","79,50","59,64","82,30","58,46","508,47M","33,55"
