"Дата","Цена","Откр","Макс","Мин","Объём","Изм"
"Апр '20","275,03","254,29","288,13","236,94","30,86M","8,16"
"Март '20","254,29","273,36","303,95","212,65","49,04M","-6,98"
"Февр '20","273,36","304,30","327,22","256,37","755,22M","-11,68"
"Янв '20","309,51","296,24","327,85","292,75","735,01M","5,40"
"Дек '19","293,65","267,27","293,97","256,29","598,87M","9,88"
"Нояб '19","267,25","249,54","268,00","249,16","448,92M","7,43"
"Окт '19","248,76","225,07","249,75","215,13","622,65M","11,07"
"Сент '19","223,97","206,43","226,42","204,22","547,41M","7,30"
"Авг '19","208,74","213,90","218,03","192,58","683,52M","-2,02"
"Июль '19","213,04","203,17","221,37","198,41","473,96M","7,64"
"Июнь '19","197,92","175,60","201,57","170,27","515,22M","13,05"
"Май '19","175,07","209,88","215,31","174,99","739,46M","-12,76"
"Апр '19","200,67","191,64","208,48","188,38","506,12M","5,64"
"Март '19","189,95","174,28","197,69","169,50","650,98M","9,70"
"Февр '19","173,15","166,96","175,87","165,93","472,54M","4,03"
"Янв '19","166,44","154,89","169,00","142,00","828,10M","5,52"
"Дек '18","157,74","184,46","184,94","146,59","898,92M","-11,67"
"Нояб '18","178,58","219,05","222,36","170,26","961,32M","-18,40"
"Окт '18","218,86","227,95","233,47","206,09","789,75M","-3,05"
"Сент '18","225,74","228,41","229,67","215,30","678,97M","-0,83"
"Авг '18","227,63","199,13","228,87","197,31","700,32M","19,62"
"Июль '18","190,29","183,82","195,96","183,42","393,84M","2,80"
"Июнь '18","185,11","187,99","194,20","180,73","527,62M","-0,94"
"Май '18","186,87","166,41","190,37","165,27","620,98M","13,08"
"Апр '18","165,26","167,88","178,94","160,63","666,36M","-1,50"
"Март '18","167,78","178,54","183,50","164,94","713,73M","-5,81"
"Февр '18","178,12","167,16","180,62","150,24","927,89M","6,38"
"Янв '18","167,43","170,16","180,10","164,70","659,68M","-1,06"
"Дек '17","169,23","169,95","177,20","166,46","531,18M","-1,52"
"Нояб '17","171,85","169,87","176,24","165,28","600,66M","1,66"
"Окт '17","169,04","154,26","169,65","152,46","504,29M","9,68"
"Сент '17","154,12","164,80","164,94","149,16","680,44M","-6,02"
"Авг '17","164,00","149,10","164,52","148,41","661,07M","10,27"
"Июль '17","148,73","144,88","153,99","142,41","422,01M","3,27"
"Июнь '17","144,02","153,17","155,98","142,20","684,18M","-5,72"
"Май '17","152,76","145,10","156,65","144,27","654,02M","6,34"
"Апр '17","143,65","143,71","145,46","140,06","373,30M","-0,01"
"Март '17","143,66","137,89","144,50","137,05","562,09M","4,87"
"Февр '17","136,99","127,03","137,48","127,01","574,97M","12,89"
"Янв '17","121,35","115,80","122,44","114,76","563,33M","4,77"
"Дек '16","115,82","110,36","118,02","108,25","608,77M","4,80"
"Нояб '16","110,52","113,46","113,77","104,08","721,55M","-2,66"
"Окт '16","113,54","112,71","118,69","112,28","686,91M","0,43"
"Сент '16","113,05","106,14","116,18","102,53","970,10M","6,55"
"Авг '16","106,10","104,41","110,23","104,00","630,13M","1,81"
"Июль '16","104,21","95,49","104,55","94,37","685,78M","9,01"
"Июнь '16","95,60","99,02","101,89","91,50","780,63M","-4,27"
"Май '16","99,86","93,97","100,73","89,47","901,14M","6,53"
"Апр '16","93,74","108,78","112,39","92,51","872,38M","-13,99"
"Март '16","108,99","97,65","110,42","97,42","746,14M","12,72"
"Февр '16","96,69","96,47","98,89","92,59","810,86M","-0,67"
"Янв '16","97,34","102,61","105,85","92,39","1,27B","-7,52"
"Дек '15","105,26","118,75","119,86","104,82","922,63M","-11,02"
"Нояб '15","118,30","119,87","123,82","111,00","750,64M","-1,00"
"Окт '15","119,50","109,07","121,22","107,31","1,11B","8,34"
"Сент '15","110,30","110,15","116,89","107,36","1,21B","-2,18"
"Авг '15","112,76","121,50","122,57","92,00","1,61B","-7,04"
"Июль '15","121,30","126,90","132,97","119,22","1,06B","-3,28"
"Июнь '15","125,42","131,20","131,39","124,48","878,61M","-3,73"
"Май '15","130,28","126,10","132,97","123,36","954,15M","4,10"
"Апр '15","125,15","124,82","134,54","123,10","996,14M","0,58"
